pH,Salinity,CO3,HCO3,Alkalinity,Hardness,Ca:Mg Ratio,Dissolved Oxygen,Suitable
7.34,17.27,0.0,179.23,179.23,2969.42,0.32,5.81,False
8.47,10.22,126.98,48.17,175.15,3304.38,0.27,7.11,True
8.46,16.83,96.4,81.99,178.39,2446.14,0.29,5.35,True
8.86,5.46,19.23,27.56,46.79,1354.67,0.32,5.18,False
8.21,14.78,157.03,5.43,162.46,3518.56,0.3,4.74,True
7.35,24.82,0.0,181.98,181.98,1426.32,0.29,4.98,False
8.81,8.38,85.83,103.3,189.13,4027.97,0.3,6.98,False
7.34,20.16,0.0,192.98,192.98,1627.31,0.26,4.03,False
8.83,19.92,20.82,147.4,168.22,1438.63,0.26,2.28,False
7.92,12.05,0.0,134.23,134.23,4666.48,0.29,4.89,True
8.0,17.54,0.0,170.57,170.57,1345.85,0.32,4.65,True
8.9,7.66,113.26,31.21,144.47,3376.94,0.32,3.12,False
7.1,5.23,0.0,101.21,101.21,5692.06,0.27,4.35,False
7.55,12.5,0.0,154.25,154.25,1439.72,0.28,6.15,True
7.96,14.38,0.0,188.66,188.66,2673.73,0.27,6.27,True
7.46,22.87,0.0,186.01,186.01,1633.82,0.29,3.05,False
7.11,17.53,0.0,151.36,151.36,1653.02,0.26,7.24,False
7.65,17.37,0.0,163.26,163.26,3818.91,0.3,6.22,True
8.37,17.86,79.95,14.01,93.96000000000001,953.06,0.27,2.61,False
7.88,11.79,0.0,183.26,183.26,3069.13,0.26,7.72,True
7.68,18.75,0.0,137.37,137.37,2851.21,0.33,6.11,True
8.17,6.77,0.0,190.42,190.42,838.74,0.29,2.86,False
7.21,17.38,0.0,123.08,123.08,3443.49,0.27,4.83,False
7.65,15.41,0.0,145.55,145.55,2776.32,0.3,7.96,True
7.88,13.99,0.0,151.01,151.01,1757.09,0.29,7.27,True
7.5,18.14,0.0,105.67,105.67,1626.23,0.28,6.72,True
8.1,17.81,0.0,186.41,186.41,1575.16,0.3,7.45,True
7.21,19.24,0.0,193.86,193.86,2671.05,0.3,4.74,False
7.82,11.73,0.0,185.07,185.07,3320.61,0.27,4.42,True
7.71,11.97,0.0,156.72,156.72,1237.81,0.31,5.05,True
8.31,16.36,56.79,104.23,161.02,2505.85,0.26,2.84,False
8.85,18.6,57.43,67.55,124.97999999999999,4688.42,0.26,7.15,False
8.31,21.89,85.68,62.35,148.03,1693.38,0.29,2.0,False
8.6,9.58,38.95,117.23,156.18,5388.2,0.25,7.15,False
8.68,9.35,152.11,1.99,154.10000000000002,5343.38,0.32,2.24,False
8.03,10.96,0.0,138.58,138.58,1677.3,0.29,7.87,True
7.96,10.87,0.0,166.6,166.6,4032.25,0.28,5.94,True
7.69,13.12,0.0,108.8,108.8,3899.31,0.26,6.2,True
8.25,11.57,126.43,17.78,144.21,1482.16,0.31,4.16,True
7.86,17.94,0.0,196.3,196.3,3704.83,0.32,7.84,True
8.2,11.59,197.72,0.2,197.92,1711.3,0.31,5.13,True
8.04,20.0,0.0,116.01,116.01,3871.8,0.3,5.72,True
7.37,15.73,0.0,182.3,182.3,4094.43,0.27,4.91,False
7.99,17.38,0.0,129.1,129.1,2636.81,0.29,5.55,True
8.04,10.4,0.0,105.25,105.25,1669.72,0.26,5.3,True
8.22,15.34,18.34,178.94,197.28,2407.38,0.29,4.78,True
7.72,21.5,0.0,132.47,132.47,1258.97,0.33,3.63,False
7.52,18.59,0.0,107.54,107.54,1265.63,0.29,6.54,True
7.16,6.63,0.0,132.94,132.94,2167.57,0.3,3.88,False
7.71,20.16,0.0,170.28,170.28,4977.22,0.32,2.16,False
7.97,17.19,0.0,164.46,164.46,3950.92,0.31,6.91,True
7.29,15.61,0.0,167.73,167.73,4381.16,0.32,2.27,False
8.07,15.53,0.0,113.03,113.03,2365.22,0.29,4.06,True
8.04,10.09,0.0,162.6,162.6,4712.2,0.29,5.64,True
8.01,10.21,0.0,106.43,106.43,1975.57,0.29,6.45,True
8.74,6.96,161.46,32.53,193.99,5730.95,0.3,2.63,False
7.57,13.24,0.0,199.09,199.09,1860.34,0.32,5.7,True
8.07,10.17,0.0,174.53,174.53,4101.14,0.32,7.57,True
8.47,14.37,189.49,5.87,195.36,3780.13,0.31,4.89,True
8.33,22.95,144.64,37.64,182.27999999999997,5108.98,0.27,4.15,False
7.81,19.73,0.0,131.87,131.87,4079.15,0.31,7.72,True
7.8,10.99,0.0,151.68,151.68,3184.7,0.32,4.8,True
8.25,13.21,73.26,123.52,196.78,1796.59,0.32,7.74,True
8.04,8.0,0.0,115.57,115.57,694.75,0.32,5.44,False
8.88,23.75,122.6,68.71,191.31,1179.13,0.28,2.1,False
7.54,18.78,0.0,142.54,142.54,1871.33,0.31,7.23,True
8.3,16.4,141.95,42.74,184.69,3694.13,0.29,4.63,True
7.59,12.45,0.0,112.56,112.56,4670.1,0.32,6.09,True
7.22,9.0,0.0,163.16,163.16,1868.69,0.29,7.23,False
8.27,22.23,100.27,6.61,106.88,2699.99,0.32,4.1,False
7.98,15.15,0.0,197.57,197.57,3838.17,0.31,4.43,True
7.87,10.84,0.0,184.35,184.35,2471.37,0.27,5.19,True
7.27,8.68,0.0,130.11,130.11,2052.32,0.29,3.34,False
8.35,18.63,72.25,62.21,134.46,1799.64,0.31,5.61,True
7.35,12.28,0.0,163.29,163.29,3366.68,0.29,2.82,False
7.32,13.5,0.0,154.98,154.98,561.87,0.29,2.24,False
7.46,6.71,0.0,139.96,139.96,3528.91,0.31,4.35,False
8.23,12.15,132.5,0.06,132.56,4012.06,0.29,5.7,True
7.76,20.69,0.0,175.5,175.5,3013.08,0.27,7.56,False
7.91,14.22,0.0,157.11,157.11,1717.17,0.31,5.39,True
8.01,11.61,0.0,177.16,177.16,4024.03,0.3,7.42,True
8.02,15.24,0.0,119.62,119.62,2048.59,0.31,7.42,True
7.97,20.05,0.0,179.3,179.3,509.0,0.27,7.35,False
7.11,20.4,0.0,106.19,106.19,4387.55,0.25,6.76,False
7.87,22.43,0.0,182.29,182.29,4631.94,0.26,5.34,False
7.55,13.04,0.0,154.12,154.12,1223.54,0.33,6.62,True
8.45,11.04,26.85,142.55,169.4,3365.09,0.26,6.49,True
7.94,10.36,0.0,163.02,163.02,4906.64,0.31,5.97,True
7.89,15.86,0.0,148.75,148.75,1711.43,0.3,4.06,True
8.04,7.02,0.0,161.94,161.94,3848.04,0.31,6.67,False
8.45,11.11,157.37,18.5,175.87,1139.54,0.3,6.15,True
8.11,14.67,0.0,123.77,123.77,4192.49,0.29,5.41,True
8.03,7.14,0.0,110.73,110.73,986.48,0.3,5.54,False
8.19,11.63,0.0,162.05,162.05,3535.8,0.32,6.91,True
8.64,17.46,53.3,25.44,78.74,607.6,0.28,2.66,False
7.38,13.69,0.0,121.2,121.2,5998.82,0.28,6.82,False
8.33,13.71,141.08,55.51,196.59,2041.53,0.27,6.18,True
7.14,21.58,0.0,199.48,199.48,2480.1,0.27,7.75,False
7.52,22.83,0.0,168.78,168.78,2419.24,0.27,6.84,False
7.8,24.36,0.0,105.13,105.13,4835.52,0.32,2.82,False
8.52,17.6,48.13,107.27,155.4,5514.36,0.31,4.34,False
7.66,17.99,0.0,131.39,131.39,4700.94,0.31,4.38,True
7.5,10.17,0.0,172.81,172.81,4199.12,0.27,7.28,True
8.63,23.98,21.74,89.51,111.25,3749.44,0.33,7.38,False
7.5,21.54,0.0,198.79,198.79,5056.45,0.31,5.05,False
8.29,13.53,148.33,14.9,163.23000000000002,4273.74,0.31,4.48,True
7.37,9.5,0.0,190.78,190.78,850.03,0.33,3.94,False
8.51,16.78,166.26,2.2,168.45999999999998,1582.59,0.31,3.22,False
7.98,19.77,0.0,110.85,110.85,2178.23,0.28,7.19,True
8.24,24.08,105.94,42.87,148.81,4401.72,0.32,4.59,False
8.02,21.76,0.0,181.05,181.05,1320.04,0.29,4.72,False
8.76,11.61,27.95,45.96,73.91,3165.01,0.27,6.78,False
7.92,17.1,0.0,170.59,170.59,4333.44,0.26,6.27,True
7.26,17.57,0.0,197.29,197.29,4239.22,0.28,2.26,False
8.11,17.3,0.0,155.95,155.95,2858.56,0.26,3.71,False
8.32,16.03,17.9,168.97,186.87,2706.18,0.33,6.35,True
7.99,9.46,0.0,167.39,167.39,3808.5,0.29,4.58,False
7.72,10.84,0.0,152.97,152.97,3920.05,0.32,5.84,True
8.04,15.38,0.0,185.4,185.4,4068.35,0.26,6.49,True
8.35,10.1,39.46,133.21,172.67000000000002,3870.61,0.31,7.66,True
7.41,10.29,0.0,189.02,189.02,3140.66,0.27,3.09,False
8.01,15.45,0.0,128.42,128.42,4573.75,0.28,7.45,True
7.79,11.79,0.0,183.37,183.37,3410.97,0.33,4.47,True
8.83,20.07,17.62,21.17,38.790000000000006,2878.58,0.31,2.47,False
7.73,16.62,0.0,140.96,140.96,1617.65,0.25,5.7,True
8.01,14.1,0.0,197.13,197.13,4521.16,0.26,6.16,True
7.03,9.85,0.0,115.84,115.84,1524.38,0.33,2.91,False
7.95,11.39,0.0,184.5,184.5,3092.43,0.29,6.66,True
7.88,19.28,0.0,191.22,191.22,4868.3,0.32,6.87,True
7.39,22.05,0.0,110.16,110.16,2565.29,0.33,2.33,False
8.16,8.6,0.0,183.85,183.85,654.13,0.31,2.21,False
7.81,19.3,0.0,122.67,122.67,5219.5,0.33,8.0,False
7.92,22.49,0.0,193.07,193.07,1531.6,0.27,6.51,False
7.04,17.78,0.0,174.74,174.74,2836.73,0.25,2.78,False
8.17,13.36,0.0,190.27,190.27,1172.05,0.3,6.31,True
7.96,24.17,0.0,157.04,157.04,2536.93,0.28,6.28,False
8.12,18.95,0.0,107.18,107.18,1179.92,0.26,7.57,True
8.24,17.05,35.54,14.69,50.23,753.79,0.27,6.59,False
8.18,24.51,0.0,195.3,195.3,1829.11,0.29,7.96,False
8.38,19.55,167.08,26.11,193.19,4453.49,0.31,5.37,True
7.11,5.19,0.0,167.49,167.49,1860.5,0.26,4.72,False
7.27,19.9,0.0,161.76,161.76,3050.96,0.27,6.49,False
8.18,7.1,0.0,191.49,191.49,2229.45,0.26,5.15,False
8.69,8.77,160.39,26.16,186.54999999999998,5640.93,0.33,7.91,False
8.59,15.81,81.93,62.51,144.44,989.28,0.32,5.52,False
7.82,12.97,0.0,159.92,159.92,1839.5,0.29,7.36,True
7.48,18.57,0.0,127.88,127.88,5156.32,0.26,5.47,False
8.04,13.11,0.0,167.02,167.02,4951.18,0.32,5.54,True
7.96,14.32,0.0,155.47,155.47,3790.78,0.3,6.68,True
8.27,15.01,171.13,14.97,186.1,1115.94,0.26,4.2,True
7.92,14.14,0.0,178.36,178.36,2432.43,0.28,5.14,True
8.16,11.69,0.0,173.7,173.7,2093.23,0.25,6.0,True
8.25,10.94,51.56,141.99,193.55,2791.14,0.3,5.61,True
8.48,16.39,4.34,20.44,24.78,4773.2,0.27,7.09,False
7.69,13.31,0.0,151.6,151.6,4294.11,0.27,4.88,True
7.2,14.26,0.0,159.07,159.07,3429.06,0.33,6.13,False
7.74,15.79,0.0,143.85,143.85,1164.27,0.29,2.59,False
7.88,19.99,0.0,189.0,189.0,3869.89,0.31,7.66,True
8.3,14.25,58.42,103.52,161.94,3910.65,0.29,4.1,True
8.01,16.53,0.0,106.9,106.9,1965.26,0.26,7.36,True
7.08,9.44,0.0,195.23,195.23,1281.32,0.32,3.24,False
8.64,8.87,25.32,13.52,38.84,862.55,0.29,5.96,False
7.23,19.78,0.0,115.01,115.01,4645.99,0.31,7.02,False
8.1,23.53,0.0,153.15,153.15,1135.68,0.26,3.23,False
8.8,23.7,138.76,10.5,149.26,629.71,0.28,5.84,False
7.01,24.7,0.0,144.69,144.69,5971.26,0.26,3.32,False
8.39,13.9,196.06,0.96,197.02,3226.79,0.27,7.41,True
7.88,10.09,0.0,159.42,159.42,4373.64,0.27,5.79,True
7.17,11.44,0.0,109.29,109.29,2254.16,0.28,3.59,False
7.7,11.02,0.0,179.03,179.03,3496.55,0.31,7.79,True
8.16,11.21,0.0,176.63,176.63,4432.57,0.29,6.75,True
8.26,15.69,94.31,12.16,106.47,4325.71,0.28,2.33,False
7.34,8.5,0.0,159.64,159.64,1345.83,0.33,6.55,False
7.51,17.96,0.0,141.89,141.89,4524.82,0.29,4.51,True
8.97,21.64,106.29,8.7,114.99000000000001,4256.46,0.31,6.67,False
7.77,10.42,0.0,132.61,132.61,3861.03,0.33,3.89,False
8.44,13.82,154.29,21.65,175.94,4232.96,0.3,4.44,True
8.42,16.04,159.09,23.58,182.67000000000002,4633.73,0.33,7.25,True
8.72,15.99,136.29,51.08,187.37,1367.59,0.29,6.78,False
7.62,17.94,0.0,183.52,183.52,4164.89,0.33,2.42,False
7.64,24.52,0.0,154.24,154.24,5441.3,0.26,3.12,False
7.78,11.96,0.0,186.11,186.11,1692.69,0.28,5.82,True
7.36,10.55,0.0,117.03,117.03,1382.29,0.25,4.03,False
8.3,7.13,0.99,35.06,36.050000000000004,2289.34,0.3,3.86,False
8.29,15.08,177.73,3.92,181.64999999999998,4348.45,0.3,4.84,True
8.55,14.97,76.32,57.68,134.0,2322.78,0.32,2.57,False
7.83,14.25,0.0,158.22,158.22,1563.56,0.27,7.6,True
8.28,10.68,30.06,83.87,113.93,4029.1,0.28,6.3,True
8.31,15.7,103.58,71.47,175.05,2660.58,0.3,6.53,True
8.73,7.82,14.9,168.23,183.13,3191.68,0.29,2.67,False
8.03,10.15,0.0,120.98,120.98,3178.72,0.29,5.79,True
7.88,18.77,0.0,101.84,101.84,2435.73,0.3,5.54,True
8.11,16.42,0.0,166.54,166.54,3887.8,0.25,5.38,True
8.37,19.55,114.88,2.22,117.1,2413.76,0.32,4.8,True
8.2,23.1,168.55,12.99,181.54000000000002,931.36,0.25,5.87,False
8.48,22.94,15.7,105.37,121.07000000000001,3066.83,0.26,3.91,False
7.85,13.44,0.0,166.92,166.92,738.58,0.26,3.36,False
8.68,8.7,174.82,21.05,195.87,3929.68,0.3,2.54,False
8.02,10.11,0.0,168.34,168.34,3205.55,0.26,3.71,False
8.47,24.66,120.79,69.66,190.45,4082.81,0.27,2.36,False
7.99,18.15,0.0,178.17,178.17,4278.45,0.26,4.06,True
8.59,17.67,32.38,92.07,124.44999999999999,1410.01,0.32,7.12,False
7.75,23.77,0.0,119.55,119.55,4997.97,0.32,2.92,False
7.52,12.83,0.0,176.38,176.38,4748.09,0.32,5.55,True
8.2,13.69,119.59,63.63,183.22,2909.0,0.27,2.43,False
8.31,10.83,18.15,104.17,122.32,4929.46,0.32,6.39,True
7.6,10.97,0.0,109.96,109.96,5368.0,0.32,3.29,False
8.18,18.61,0.0,119.21,119.21,4654.32,0.29,5.6,True
7.85,16.06,0.0,119.24,119.24,1247.41,0.3,7.66,True
7.65,12.07,0.0,122.76,122.76,3493.2,0.32,5.68,True
7.51,13.26,0.0,117.01,117.01,1339.73,0.32,7.29,True
7.41,23.7,0.0,114.25,114.25,2725.12,0.26,5.15,False
8.09,17.43,0.0,137.55,137.55,2329.0,0.28,6.95,True
8.37,17.9,136.22,17.58,153.8,3991.4,0.32,6.72,True
7.7,16.95,0.0,103.33,103.33,1133.9,0.26,6.63,True
7.37,18.51,0.0,107.26,107.26,3386.12,0.31,7.35,False
8.06,19.23,0.0,152.69,152.69,2378.69,0.29,4.11,True
8.26,19.92,109.76,66.43,176.19,3875.97,0.33,7.35,True
8.15,20.45,0.0,165.44,165.44,3680.29,0.3,2.03,False
8.38,22.19,24.03,147.65,171.68,1011.25,0.26,5.9,False
7.95,16.36,0.0,122.74,122.74,1210.06,0.29,4.66,True
7.74,12.08,0.0,103.62,103.62,2830.01,0.33,4.39,True
8.75,22.67,148.97,23.82,172.79,5982.08,0.32,6.99,False
7.6,7.72,0.0,157.55,157.55,1770.96,0.31,7.83,False
7.68,21.89,0.0,154.26,154.26,3466.03,0.33,2.9,False
7.16,13.14,0.0,117.61,117.61,2178.73,0.28,3.97,False
7.98,12.76,0.0,141.32,141.32,1552.07,0.3,3.64,False
8.98,22.0,171.98,22.28,194.26,2338.6,0.3,6.65,False
7.95,17.57,0.0,175.9,175.9,4887.55,0.31,5.58,True
8.45,5.11,129.27,30.58,159.85000000000002,5617.03,0.29,2.72,False
7.87,19.49,0.0,129.84,129.84,3383.0,0.26,5.31,True
8.18,14.44,0.0,146.51,146.51,1590.75,0.26,5.88,True
7.72,10.47,0.0,164.0,164.0,1161.87,0.25,4.08,True
7.81,18.33,0.0,134.96,134.96,1305.76,0.29,4.39,True
8.09,10.81,0.0,139.38,139.38,2674.5,0.27,7.1,True
7.07,16.26,0.0,193.14,193.14,1277.4,0.31,4.7,False
8.8,11.42,112.17,38.41,150.57999999999998,5970.2,0.26,3.51,False
8.68,14.81,146.5,23.09,169.59,1713.96,0.28,5.04,False
8.16,9.02,0.0,172.0,172.0,852.97,0.27,4.24,False
8.09,17.12,0.0,162.0,162.0,3550.46,0.29,6.73,True
7.4,16.34,0.0,136.19,136.19,3067.55,0.3,5.54,False
7.22,6.86,0.0,155.57,155.57,1833.04,0.3,3.32,False
8.42,13.09,31.67,138.28,169.95,3707.94,0.27,6.55,True
7.58,21.04,0.0,189.6,189.6,3635.68,0.29,2.8,False
7.47,15.9,0.0,129.83,129.83,2532.8,0.32,5.79,False
8.59,17.56,48.15,0.02,48.17,2889.08,0.26,4.82,False
8.26,15.82,54.67,65.74,120.41,1622.93,0.27,5.71,True
8.23,12.58,150.56,14.01,164.57,1992.38,0.26,6.17,True
7.99,23.89,0.0,161.41,161.41,1477.57,0.32,3.77,False
7.87,11.74,0.0,124.11,124.11,2812.33,0.3,4.06,True
8.06,7.49,0.0,173.09,173.09,5456.03,0.29,3.98,False
7.95,20.09,0.0,117.23,117.23,990.08,0.28,7.84,False
7.76,12.51,0.0,120.86,120.86,1097.79,0.26,5.47,True
7.67,8.52,0.0,160.44,160.44,1753.72,0.28,7.58,False
7.77,19.28,0.0,192.64,192.64,4912.84,0.26,6.12,True
7.41,18.34,0.0,103.27,103.27,5100.45,0.3,2.31,False
8.29,10.89,114.97,55.55,170.51999999999998,4190.93,0.27,6.5,True
8.72,24.84,38.79,160.77,199.56,2927.4,0.31,6.68,False
7.88,12.8,0.0,165.44,165.44,4362.23,0.32,5.3,True
8.14,10.49,0.0,172.39,172.39,2321.4,0.33,7.27,True
8.12,16.57,0.0,183.12,183.12,3788.89,0.31,6.88,True
8.28,13.39,78.26,84.49,162.75,3345.9,0.26,7.76,True
7.91,14.41,0.0,114.19,114.19,4681.09,0.3,7.89,True
8.39,6.01,162.29,26.4,188.69,1715.39,0.32,6.67,False
7.19,24.36,0.0,101.85,101.85,5702.57,0.28,3.49,False
7.98,9.17,0.0,197.44,197.44,5512.49,0.3,6.06,False
7.8,10.15,0.0,101.55,101.55,2061.8,0.31,4.56,True
7.86,13.49,0.0,121.35,121.35,3848.88,0.32,4.15,True
7.84,17.21,0.0,179.92,179.92,1562.23,0.28,6.47,True
7.66,23.98,0.0,159.13,159.13,2466.61,0.28,3.78,False
7.63,8.76,0.0,119.08,119.08,3559.57,0.26,4.44,False
8.98,7.94,36.78,37.62,74.4,1818.01,0.27,7.76,False
7.85,11.14,0.0,156.66,156.66,5385.88,0.31,4.31,False
7.88,18.91,0.0,192.04,192.04,4888.94,0.27,5.18,True
7.8,14.72,0.0,126.87,126.87,1050.84,0.3,6.21,True
7.99,14.26,0.0,166.93,166.93,1780.41,0.32,4.28,True
8.84,8.93,123.0,3.89,126.89,2841.93,0.31,4.72,False
8.07,11.59,0.0,122.44,122.44,2605.56,0.31,7.13,True
8.3,19.76,87.11,51.2,138.31,4286.0,0.25,7.24,True
7.96,10.24,0.0,135.89,135.89,1578.23,0.28,5.04,True
7.49,10.96,0.0,173.27,173.27,3104.66,0.27,2.71,False
8.54,12.27,26.77,36.07,62.84,4607.77,0.28,7.0,False
8.91,10.48,173.94,11.03,184.97,2305.57,0.33,3.59,False
8.53,20.74,169.53,5.21,174.74,757.33,0.26,7.78,False
7.3,13.38,0.0,183.15,183.15,1976.03,0.33,5.76,False
8.07,22.36,0.0,145.89,145.89,2409.45,0.31,4.16,False
8.92,19.92,18.13,139.02,157.15,656.15,0.32,6.71,False
7.85,15.05,0.0,100.89,100.89,3647.91,0.31,5.61,True
8.65,12.88,161.55,33.85,195.4,4881.71,0.28,3.76,False
8.96,22.89,152.86,31.85,184.71,846.31,0.31,7.0,False
7.88,6.14,0.0,140.49,140.49,547.52,0.28,2.02,False
7.37,19.76,0.0,152.64,152.64,4534.69,0.28,7.23,False
8.5,21.18,22.68,97.38,120.06,3498.86,0.33,7.92,False
8.22,11.15,171.36,13.25,184.61,3580.84,0.27,4.2,True
7.52,18.86,0.0,115.59,115.59,3482.79,0.25,5.81,True
8.37,17.97,145.04,32.42,177.45999999999998,2710.71,0.29,7.9,True
8.54,19.44,83.8,110.85,194.64999999999998,5984.67,0.31,2.51,False
8.33,22.76,91.55,38.63,130.18,2682.65,0.3,2.37,False
8.96,16.36,67.07,11.99,79.05999999999999,2398.55,0.27,4.68,False
8.07,10.4,0.0,118.57,118.57,807.21,0.28,5.48,False
8.82,24.47,30.27,141.28,171.55,4161.08,0.31,4.73,False
8.04,11.04,0.0,110.88,110.88,4934.17,0.31,7.37,True
8.93,12.59,137.71,27.74,165.45000000000002,5726.14,0.3,6.34,False
8.15,10.55,0.0,195.66,195.66,5578.85,0.27,4.86,False
8.32,19.57,71.02,34.66,105.67999999999999,4597.42,0.27,5.76,True
7.79,16.98,0.0,113.62,113.62,3985.25,0.27,4.22,True
8.51,20.34,129.72,54.74,184.46,4906.72,0.28,2.71,False
8.21,14.45,46.2,109.4,155.60000000000002,1261.08,0.28,4.92,True
8.18,14.25,0.0,188.65,188.65,4103.78,0.33,6.03,True
8.11,12.63,0.0,103.39,103.39,5577.71,0.32,7.95,False
7.16,21.09,0.0,123.46,123.46,3653.73,0.31,5.42,False
7.63,16.18,0.0,153.14,153.14,1771.63,0.26,7.07,True
7.85,12.15,0.0,170.34,170.34,3178.49,0.33,7.95,True
7.77,6.67,0.0,137.53,137.53,873.18,0.29,6.05,False
8.74,15.6,35.12,41.96,77.08,4997.72,0.26,2.42,False
8.02,12.65,0.0,112.91,112.91,2923.84,0.25,5.49,True
8.69,10.29,102.57,54.2,156.76999999999998,3492.69,0.26,3.99,False
8.11,18.44,0.0,105.29,105.29,4777.15,0.3,3.2,False
7.92,12.59,0.0,196.24,196.24,2754.3,0.27,5.82,True
8.37,15.97,153.56,36.67,190.23000000000002,2388.11,0.28,7.05,True
7.67,12.07,0.0,177.06,177.06,5390.22,0.26,7.73,False
8.83,16.15,185.08,8.37,193.45000000000002,866.52,0.33,5.21,False
8.05,13.51,0.0,127.28,127.28,5300.01,0.27,6.77,False
7.52,17.64,0.0,145.13,145.13,4275.23,0.28,7.89,True
7.68,24.56,0.0,199.65,199.65,4281.14,0.32,3.53,False
7.67,14.26,0.0,178.87,178.87,5455.51,0.33,6.51,False
7.65,12.02,0.0,196.38,196.38,1932.63,0.29,7.23,True
7.83,12.74,0.0,168.69,168.69,2567.66,0.3,7.63,True
7.65,16.92,0.0,175.62,175.62,2071.04,0.33,6.77,True
8.65,13.59,62.56,45.31,107.87,4060.94,0.27,7.26,False
7.19,6.19,0.0,116.93,116.93,4599.7,0.25,5.62,False
8.26,17.81,177.88,9.27,187.15,5305.67,0.32,6.52,False
7.21,14.44,0.0,147.97,147.97,1813.08,0.31,7.99,False
8.29,7.12,92.52,83.24,175.76,1997.67,0.27,2.18,False
7.94,19.46,0.0,134.42,134.42,4306.82,0.27,6.77,True
8.23,15.75,49.62,134.24,183.86,1890.87,0.31,4.53,True
7.93,18.79,0.0,170.51,170.51,4136.51,0.33,2.09,False
7.72,6.91,0.0,119.76,119.76,4341.88,0.28,3.21,False
8.28,18.84,10.42,124.51,134.93,3544.95,0.26,7.07,True
7.9,7.92,0.0,193.73,193.73,2415.34,0.31,6.64,False
7.93,10.23,0.0,158.8,158.8,2136.14,0.3,6.31,True
8.91,24.85,182.89,10.97,193.85999999999999,1615.64,0.3,5.16,False
7.62,19.5,0.0,188.44,188.44,1650.77,0.28,4.23,True
7.77,8.99,0.0,172.2,172.2,1301.6,0.33,7.46,False
8.27,17.11,179.32,0.98,180.29999999999998,3184.63,0.28,5.21,True
8.12,17.45,0.0,107.03,107.03,2029.59,0.32,5.6,True
7.89,7.68,0.0,156.77,156.77,2910.63,0.27,3.06,False
7.07,13.81,0.0,123.65,123.65,4659.42,0.27,6.15,False
7.97,11.04,0.0,113.81,113.81,3636.27,0.29,4.72,True
7.75,12.36,0.0,109.67,109.67,1539.68,0.31,4.46,True
8.19,18.11,0.0,175.66,175.66,4724.02,0.31,7.96,True
8.7,20.33,198.58,0.18,198.76000000000002,1043.69,0.33,3.63,False
8.32,18.34,138.07,10.04,148.10999999999999,1845.89,0.27,6.09,True
7.73,11.85,0.0,104.06,104.06,4476.02,0.26,7.22,True
7.92,17.85,0.0,111.62,111.62,4860.08,0.3,4.38,True
7.77,8.72,0.0,171.12,171.12,2092.5,0.31,7.33,False
7.81,15.79,0.0,142.61,142.61,3788.95,0.26,3.64,False
8.93,15.22,122.06,30.65,152.71,5658.97,0.33,7.64,False
7.92,10.55,0.0,112.32,112.32,3333.86,0.33,7.64,True
7.66,17.93,0.0,144.04,144.04,4505.24,0.33,2.53,False
7.56,15.44,0.0,131.51,131.51,4385.03,0.29,4.77,True
8.22,21.21,5.34,133.85,139.19,4356.31,0.29,7.75,False
8.39,20.26,156.47,2.47,158.94,5921.77,0.27,4.4,False
8.35,13.47,182.38,14.03,196.41,4607.09,0.31,7.13,True
7.06,21.16,0.0,169.57,169.57,2080.26,0.3,3.87,False
8.15,14.2,0.0,156.2,156.2,4726.98,0.3,7.96,True
8.42,19.32,127.75,16.28,144.03,2752.92,0.26,5.95,True
7.07,5.18,0.0,110.15,110.15,1559.95,0.26,6.81,False
7.82,15.17,0.0,159.96,159.96,2884.56,0.28,6.07,True
8.89,8.99,138.36,38.43,176.79000000000002,2801.26,0.29,6.39,False
8.02,13.83,0.0,161.92,161.92,3772.28,0.27,6.21,True
7.34,20.5,0.0,134.07,134.07,5111.04,0.29,3.05,False
7.77,24.37,0.0,138.11,138.11,5206.4,0.29,3.22,False
7.49,17.15,0.0,165.45,165.45,736.3,0.26,2.42,False
7.63,10.62,0.0,195.12,195.12,3558.25,0.32,6.04,True
8.04,17.52,0.0,117.65,117.65,4151.53,0.27,7.19,True
8.26,10.05,9.73,114.39,124.12,3555.51,0.27,5.48,True
8.18,12.04,0.0,164.98,164.98,4627.93,0.31,5.69,True
7.14,14.24,0.0,192.81,192.81,4187.09,0.32,7.12,False
8.26,18.09,108.56,27.77,136.33,1235.94,0.28,4.71,True
7.38,6.22,0.0,131.68,131.68,1420.62,0.27,7.01,False
7.06,19.3,0.0,173.44,173.44,2001.66,0.32,6.14,False
8.16,12.67,0.0,157.98,157.98,3563.11,0.32,5.74,True
7.93,22.76,0.0,193.38,193.38,2979.45,0.29,2.97,False
7.88,13.19,0.0,107.04,107.04,2267.37,0.32,6.72,True
7.95,15.82,0.0,124.44,124.44,4004.88,0.29,4.44,True
7.81,14.17,0.0,187.68,187.68,2955.3,0.28,7.22,True
7.16,14.57,0.0,109.62,109.62,3703.23,0.3,4.32,False
7.89,14.08,0.0,150.3,150.3,1053.66,0.29,6.05,True
8.33,16.38,83.1,70.36,153.45999999999998,2095.57,0.28,4.42,True
8.13,14.41,0.0,178.21,178.21,2290.68,0.26,6.44,True
7.76,15.88,0.0,166.88,166.88,1359.07,0.26,6.64,True
7.76,11.65,0.0,155.01,155.01,3848.88,0.27,7.3,True
8.97,11.21,82.38,6.96,89.33999999999999,3689.25,0.31,6.34,False
7.51,13.62,0.0,151.18,151.18,3604.47,0.3,4.83,True
